"id","taxonID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","scientificName","acceptedNameUsage","parentNameUsage","namePublishedIn","namePublishedInYear","higherClassification","phylum","class","order","family","genus","specificEpithet","infraspecificEpithet","taxonRank","scientificNameAuthorship","taxonomicStatus","nomenclaturalStatus","modified","bibliographicCitation","references"
"1228","1228","1305","1227","","Cedronia granatensis Cuatrec.","Picrolemma huberi Ducke","Cedronia Cuatrec.","","","Flora;Angiospermas;Simaroubaceae DC.;Cedronia Cuatrec.;Cedronia granatensis Cuatrec.","","","","Simaroubaceae","Cedronia","granatensis","","ESPECIE","Cuatrec.","SINONIMO","","2013-06-13 13:32:49.651","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1228"
"1231","1231","","222","","Marupa Miers","","Simaroubaceae DC.","","","Flora;Angiospermas;Simaroubaceae DC.;Marupa Miers","","","","Simaroubaceae","Marupa","","","GENERO","Miers","","NOME_ILEGITIMO","2009-12-16 15:21:27.192142","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1231"
"1232","1232","1224","222","","Neocastela Small","Castela Turpin","Simaroubaceae DC.","","","Flora;Angiospermas;Simaroubaceae DC.;Neocastela Small","","","","Simaroubaceae","Neocastela","","","GENERO","Small","SINONIMO","","2009-12-14 10:16:17.291257","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1232"
"1233","1233","1300","222","","Picraena Lindl.","Picrasma Blume","Simaroubaceae DC.","","","Flora;Angiospermas;Simaroubaceae DC.;Picraena Lindl.","","","","Simaroubaceae","Picraena","","","GENERO","Lindl.","SINONIMO","","2009-12-14 10:11:29.091966","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1233"
"1235","1235","1301","1233","1302","Picraena palo-amargo (Speg.) Speg.","Picrasma crenata (Vell.) Engl.","Picraena Lindl.","","","Flora;Angiospermas;Simaroubaceae DC.;Picraena Lindl.;Picraena palo-amargo (Speg.) Speg.","","","","Simaroubaceae","Picraena","palo-amargo","","ESPECIE","(Speg.) Speg.","SINONIMO","","2009-12-14 10:13:18.178417","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1235"
"1236","1236","1301","1233","1303","Picraena vellozii (Planch.) Engl.","Picrasma crenata (Vell.) Engl.","Picraena Lindl.","","","Flora;Angiospermas;Simaroubaceae DC.;Picraena Lindl.;Picraena vellozii (Planch.) Engl.","","","","Simaroubaceae","Picraena","vellozii","","ESPECIE","(Planch.) Engl.","SINONIMO","","2009-12-14 10:14:24.141034","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1236"
"1299","1299","1300","222","","Picranena Endl.","Picrasma Blume","Simaroubaceae DC.","","","Flora;Angiospermas;Simaroubaceae DC.;Picranena Endl.","","","","Simaroubaceae","Picranena","","","GENERO","Endl.","SINONIMO","","2009-12-14 10:10:12.889873","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1299"
"1300","1300","","222","","Picrasma Blume","","Simaroubaceae DC.","","","Flora;Angiospermas;Simaroubaceae DC.;Picrasma Blume","","","","Simaroubaceae","Picrasma","","","GENERO","Blume","NOME_ACEITO","NOME_CORRETO","2009-12-14 10:04:38.247821","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1300"
"1301","1301","","1300","","Picrasma crenata (Vell.) Engl.","","Picrasma Blume","","","Flora;Angiospermas;Simaroubaceae DC.;Picrasma Blume;Picrasma crenata (Vell.) Engl.","","","","Simaroubaceae","Picrasma","crenata","","ESPECIE","(Vell.) Engl.","NOME_ACEITO","NOME_CORRETO","2014-09-29 14:07:30.729","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1301"
"1302","1302","1301","1300","1235","Picrasma palo-amargo Speg.","Picrasma crenata (Vell.) Engl.","Picrasma Blume","","","Flora;Angiospermas;Simaroubaceae DC.;Picrasma Blume;Picrasma palo-amargo Speg.","","","","Simaroubaceae","Picrasma","palo-amargo","","ESPECIE","Speg.","SINONIMO","NOME_LEGITIMO_MAS_INCORRETO","2014-09-29 14:08:05.692","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1302"
